paper_title,author,year,journal,dataset,dataset_size,num_inputs,classes,train_size,test_size,method,situation,error,error_sd,tuning,ntree,mtry,evaluation,comparison
Random forests,Breiman,2001,Machine Learning,glass,214,9,6,192,22,rf,allround,21.2,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,breast cancer,699,9,2,629,70,rf,allround,2.7,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,pima,768,8,2,691,77,rf,allround,24.3,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,sonar,208,60,2,187,21,rf,allround,18,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vowel,990,10,11,891,99,rf,allround,3.3,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ionosphere,351,34,2,315,36,rf,allround,7.5,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vehicle,846,18,4,761,85,rf,allround,26.4,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,german credit,1000,24,2,900,100,rf,allround,26.2,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,image,2310,19,7,2079,231,rf,allround,2.7,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ecoli,336,7,8,302,34,rf,allround,13,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,votes,435,16,2,391,44,rf,allround,4.6,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,liver,345,6,2,310,35,rf,allround,24.7,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,letters,20000,16,26,15000,5000,rf,allround,4.7,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,satellite,6435,36,6,4435,2000,rf,allround,10.5,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,zip,9298,256,10,7291,2007,rf,allround,7.8,NA,none,200,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,waveform,3300,21,3,300,3000,rf,allround,17.3,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,twonorm,3300,20,2,300,3000,rf,allround,3.9,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,threenorm,3300,20,2,300,3000,rf,allround,17.5,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ringnorm,3300,20,2,300,3000,rf,allround,4.9,NA,none,100,1,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,glass,214,9,6,192,22,rf,allround,20.6,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,breast cancer,699,9,2,629,70,rf,allround,2.9,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,pima,768,8,2,691,77,rf,allround,24.2,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,sonar,208,60,2,187,21,rf,allround,15.9,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vowel,990,10,11,891,99,rf,allround,3.4,NA,default,100,log2(p+1),50 runs train/test,simple diff
